ProductCode,ProductName,Price,JDQName
049CPC,AutoTrac for GS2 Displays (1800/2600)," $2,695.00 ",
049DPC,AutoTrac for GS3 Displays (2630)," $2,695.00 ",
049EPC,AutoTrac SF1 to SF2 Upgrade GS2 (1800/2600), $192.50 ,
049FPC,AutoTrac SF1 to SF2 Upgrade GS3 (2630), $192.50 ,
049GPC,4600 - AutoTrac, $770.00 ,
049MPC,4600 - Premium 3.0 (Data Sharing)," $2,887.50 ",
049NPC,4600 - AutoTrac to Premium 3.0," $2,117.50 ",
049PPC,4600 - Premium 1.0 to Premium 3.0, $577.50 ,
049QPC,4600 - Premium 2.0 to Premium 3.0, $192.50 ,
049YPC,4600 - Automation 3.0," $4,042.50 ",
049ZPC,4600 - AutoTrac to Automation 3.0," $3,272.50 ",
04A0PC,4600 - Premium 1.0 to Automation 3.0," $1,732.50 ",
04A1PC,4600 - Premium 2.0 to Automation 3.0," $1,347.50 ",
04A2PC,4600 - Premium 3.0 to Automation 3.0," $1,155.00 ",
049IPC,4600 - AutoTrac to  Premium Upgrade," $1,540.00 ",
049WPC,"4640 Universal AutoTrac Activation (For use on a 4640 Universal Display
 without Gen 4 AutoTrac in base)"," $3,080.00 ",
0231PC,Active Implement Guidance Activation," $2,695.00 ",
0260PC,Non-John Deere Guidance Compatibility Activation, $192.50 ,
0350PC,ITEC PRO Activation - GS2," $1,925.00 ",
0351PC,ITEC PRO Activation - GS3," $1,925.00 ",
0050PC,John Deere Machine Sync Activation GS3," $1,151.15 ",
0372PC,Tractor Automation Activation - Machine Sync, $192.50 ,
0370PC,Tractor Automation Activation - Round Baler, $77.00 ,
0031PC,John Deere Active Fill Control for SPFH," $7,364.28 ",
0484PC,Surface Water Pro Upgrade to Surface Water Pro Plus Activation - GS2," $1,155.00 ",
0485PC,Surface Water Pro upgrade to Surface Water Pro Plus Activation - GS3," $1,155.00 ",
0481PC,Surface Water Pro Plus Activation - GS2," $2,498.65 ",
0483PC,Surface Water Pro Plus Activation - GS3," $2,498.65 ",
0311PC,iGrade Activation," $3,080.00 ",
0312PC,John Deere Distance Trip Activation, $577.50 ,
0530PC,Swath Pro Activation - GS2," $2,310.00 ",
0534PC,Section Control Activation - GS3," $2,310.00 ",
04D6PC,G5 Universal AutoTrac License," $2,310.00 ",
04D7PC,G5 Universal Section Control License," $1,540.00 ",
04DAPC,G5 Universal AutoTrac & Section Control License," $3,850.00 ",
6208,4640 Premium 3.0 Subscription - 1 year  (Section Control & Data Sharing), $654.50 ,
6220,4240 Section Control Subscription - 1 Year, $462.00 ,
6211,"4640 Automation 4.0 Subscription - 1 year (Section Control, Data Sharing & Machine Sync)"," $1,039.50 ",
090APC,SF1 to SF2 Ready Upgrade Activation - StarFire 3000 Receiver," $3,080.00 ",
090EPC,SF1 to SF3 Ready Upgrade - Starfire 6000," $3,080.00 ",
7307PC,StarFire 6000 RTK Ready Activation (need SF3 Ready Receiver)," $2,695.00 ",
090FPC,StarFire iTC to StarFire 6000 Activation Transfer, $539.00 ,
090GPC,StarFire 3000 to StarFire 6000 Activation Transfer, $269.50 ,
7305PC,StarFire 3000 RTK Activation," $2,695.00 ",
0909PC,StarFire iTC to StarFire 3000 Upgrade - Receiver Activations, $269.50 ,
0291PC,John Deere Mobile Farm Manager, $431.20 ,
0241PC,"AMS Customer Contact Center Subscription, NMQR Qualified (Phase 4)", $129.00 ,
0601PC,John Deere Documentation Basics - 1800 Display, $150.15 ,
04C0PC,G5 Universal Display," $2,691.15 ",
04C0PC,G5 Universal Display /(Permanent AutoTrac & Section Control License)," $6,541.15 ",
04C0PC,G5 Universal Display /(Permanent Autotrac License)," $5,001.15 ",
04C0PC,G5 Universal Display /(Permanent Section Control License)," $4,231.15 ",
04C0PC,G5 Advanced License - 1 yr, $577.50 ,
04C1PC,G5Plus Universal Display," $7,465.15 ",
