Part Number,Part Name
PF90687,"GreenStar 2
BPF12658,Implement Receiver Harness
BPF11540,ATU Supplemental Kit - 5R Tractor
BPF11129,FT4 GreenStar Harness
BPF10848,AutoTracUniversal Steering Supplemental Kit Z
PF90548,AutoTrac Universal Steering Supplemental Kit - Q
PF90547,AutoTracUniversal Steering Supplemental Kit - V
PF90454,AutoTracUniversal Steering Supplemental Kit - G
BPF11275,"AutoTrac Supplemental Steering Kit - ""AC""                     "
PF90464,AutoTracUniversal Steering Supplemental Kit - K
PF90448,AutoTracUniversal Steering Supplemental Kit - F
PF90518,AutoTracUniversal Steering Supplemental Kit - B
PF90510,AutoTracUniversal Steering Supplemental Kit - C
BPF10791,"AutoTrac Universal Steering Supplemental Kit - ""Y""            "
PF90453,AutoTracUniversal 200 Auxiliary Resume Switch
PF90608,AutoTracUniversal Steering Supplemental Kit - S
PF90509,AutoTracUniversal Steering Supplemental Kit - U
PF90437,AutoTracUniversal Steering Supplemental Kit - D
PF90468,AutoTracUniversal Steering Supplemental Kit - L
PF90609,AutoTracUniversal Steering Supplemental Kit - T
PF90476,"AutoTracUniversal Hub
PF90451,AutoTracUniversal Steering Supplemental Kit - E
BPF12133,"AutoTracUniversal Steering Supplemental Kit - ""AA           "
PF90889,AutoTracUniversal Steering Supplemental Kit - X
BPF11794,AutoTrac Universal Steering Supplemental Kit - J
BPF11793,AutoTrac Steering Supplemental Kit - CB
PF90890,AutoTracUniversal Steering Supplemental Kit - W
PF90452,AutoTracUniversal Horn Kit - Claas E/CH Track Tractors
RE174725,Harness - GreenStar™ ISO Implement - Row Crop Tractors
BPF10200,Harness - StarFire™ Position Receiver Extension (30 cm)
PF90350,Harness - StarFire™ Position Receiver Radar Adapter
REQUIRED,for 6000 Series Tractors. Not required for machines with
BPF11855,AutoTrac Universal 300 Adapter Harness
BPF11333,GreenStar Ready Harness Kit - 6M (MY16) FT4 Cab
BPF11859,GreenStar RS232 Harness Kit
BPF10746,Ethernet Switch
PF90591,Rear Extension Harness (2 m)
BPF10382,Active Implement Guidance Open Center Valve
BPF10024,Active Implement Guidance Implement Feedback Sensor
BPF10403,Power Harness - Row Crop Tractor
BPF10352,Active Implement Guidance External Valve Bracket Kit
PF90588,Center Extension Harness (2 m)
PF90676,iGrade™ or Surface Water Pro Receiver Mounting Kit
PF90592,Power Extension Harness (11 m)
BPF10383,Active Implement Guidance Closed Center Valve
BPF10404,Power Harness - Four-wheel drive (4WD) Tractor
PF90674,iGrade™ or Surface Water Pro Implement Mast
BPF10548,Active Implement Guidance Counterbalance Valve
PF90553,CAN Front Extension Harness (12 m)
PF90593,Auxiliary Power Extension Harness (21 m)
BPF10732,John Deere Application Controller Mounting Hardware - 7R
PF90589,Center Extension Harness (8 m)
